

;Kalenderwoche;Anzahl Testungen;Positiv getestet;Positiven-quote (%);Anzahl übermittelnde Labore
;Bis einschließlich KW10, 2020;62253;1589;2.55;90
;11/2020;126890;7419;5.85;113
;12/2020;368346;25205;6.84;147
;13/2020;369781;32158;8.70;151
;14/2020;409201;36885;9.01;155
;15/2020;372846;29552;7.93;164
;16/2020;337590;22616;6.70;170
;17/2020;362741;18101;4.99;180
;18/2020;326270;12577;3.85;177
;19/2020;383807;10172;2.65;180
;20/2020;431146;7069;1.64;184
;21/2020;354260;5228;1.48;178
;22/2020;401589;4267;1.06;173
;23/2020;337217;3085;0.91;175
;24/2020;327196;2816;0.86;173
;25/2020;381933;5252;1.38;173
;26/2020;464626;3682;0.79;179
;27/2020;506459;3092;0.61;151
;28/2020;510551;2992;0.59;179
;29/2020;538701;3497;0.65;177
;30/2020;553742;4458;0.81;183
;31/2020;586967;5738;0.98;171
;32/2020;717123;7263;1.01;169
;33/2020;835384;8121;0.97;183
;34/2020;1029715;8766;0.85;192
;35/2020;1091207;8061;0.74;190
;36/2020;1043713;8072;0.77;191
;37/2020;1133737;9855;0.87;192
;38/2020;1090740;12937;1.19;200
;39/2020;1154700;14140;1.22;190
;40/2020;1112967;19407;1.74;193
;41/2020;1188338;29567;2.49;191
;42/2020;1220909;44046;3.61;198
;43/2020;1373753;77006;5.61;202
;44/2020;1593278;115235;7.23;203
;45/2020;1598527;124869;7.81;201
;46/2020*;1396088;125200;8.97;199
;47/2020*;1367570;127742;9.34;199
;48/2020*;1353980;125451;9.27;203
;49/2020*;1329716;135062;10.16;203
;50/2020*;1445671;165953;11.48;201
;51/2020*;1613358;185724;11.51;207
;52/2020*;1077066;138761;12.88;204
;53/2020*;806908;128349;15.91;200
;1/2021*;1214379;154988;12.76;198
;2/2021*;1146983;120410;10.50;190
;Summe;37449922;2142435;;
;*Ab 03. November 2020 geänderte Testkriterien, Daten nicht direkt mit Vorwochen vergleichbar;;;;
