

;Kalenderwoche 2020;Anzahl Testungen;Positiv getestet;Positiven-quote (%);Anzahl übermittelnde Labore
;Bis einschließlich KW10;124716;3892;3.12;90
;11;127457;7582;5.95;114
;12;348619;23820;6.83;152
;13;361515;31414;8.69;151
;14;408348;36885;9.03;154
;15;380197;30791;8.10;164
;16;331902;22082;6.65;168
;17;363890;18083;4.97;178
;18;326788;12608;3.86;175
;19;403875;10755;2.66;182
;20;431146;7069;1.64;184
;21;354260;5228;1.48;178
;22;401589;4267;1.06;173
;23;337217;3085;0.91;175
;24;327196;2816;0.86;173
;25;381933;5252;1.38;173
;26;464626;3682;0.79;179
;27;506459;3092;0.61;151
;28;510551;2992;0.59;179
;29;538701;3497;0.65;177
;30;553742;4458;0.81;183
;31;586967;5738;0.98;171
;32;717123;7263;1.01;169
;33;835384;8121;0.97;183
;34;1029715;8766;0.85;192
;35;1091207;8061;0.74;190
;36;1043713;8072;0.77;191
;37;1133737;9855;0.87;192
;38;1090740;12937;1.19;200
;39;1154700;14140;1.22;190
;40;1112967;19407;1.74;193
;41;1188338;29567;2.49;191
;42;1220909;44046;3.61;198
;43;1373753;77006;5.61;202
;44;1593278;115235;7.23;203
;45;1598527;124869;7.81;201
;46*;1396088;125200;8.97;199
;47*;1367570;127742;9.34;199
;48*;1353980;125451;9.27;203
;49*;1329716;135062;10.16;203
;50*;1442099;165516;11.48;200
;51*;1612673;185669;11.51;206
;52*;1071001;138338;12.92;200
;53*;789680;126884;16.07;190
;Summe;35118592;1866295;;
;*Ab 03. November 2020 geänderte Testkriterien, Daten nicht direkt mit Vorwochen vergleichbar;;;;
